,ID,description,title
0,00153806-60fe-46ed-b778-46545c509ca2,"Job Description   Send me Jobs like this We are looking for immediate joining as a Duty Doctor and ICU Doctor in Bangalore. Medico Fresher can also apply for this Job . Qualification : MBBS, BAMS Experience : 0 - 3 yrs Please share your updated resume at admin@shhindia.com Salary:INR 3,00,000 - 4,25,000 P.A Industry: Medical / Healthcare / Hospitals Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:Medical Professional Role:Medical Officer Keyskills MBBS BAMS Desired Candidate Profile MBBS , BAMS ICU Doctor and Duty Doctor Night Shift (Optional) Fresher can also apply Location : Bangalore Education- UG: BAMS - Any Specialization, MBBS - Medicine PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: SISKIN HEALTH & HOSPITALITY We feel obliged to introduce our ambitious venture Siskin Health & Hospitality Pvt Ltd, as an entity, which takes care of any Medical Tourism requirement of patients at global level. Download PPT Photo 1   View Contact Details",Duty Doctor & ICU Doctor
1,002144f5-744f-417e-9114-c99002ebef15,"Job Description   Send me Jobs like this Should handle litigation Salary: Not Disclosed by Recruiter Industry: Real Estate / Property Functional Area: Legal , Regulatory , Intellectual Property Role Category:Other Role:Legal Manager Keyskills litigation Desired Candidate Profile Candidates should have good experience in handling litigation. Education- UG: LLB - Law PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Nitesh Estates Limited We are a Bangalore based integrated property developing company committed to establish International Quality Construction services using state-of-the-art techniques. Download PPT Photo 1   View Contact Details",Legal Manager
2,009279a0-2ea8-40b8-b392-4cd0b7b3cea0,"Job Description   Send me Jobs like this Minimum should have 1 year experience worked as steward in Hospitality Industry. Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Food & Beverage Role:Steward Keyskills steward waiter stewardess f&b service gsa Desired Candidate Profile Please refer to the Job description above Company Profile: Royal Orchid Hotels Ltd. Royal Orchid Hotels, India's fastest growing chain caters to the business travellers in India. The group currently operates 13 hotels - Bangalore, Mysore, Pune, Jaipur and Hyderabad. The group is present across three different categories of hotels enabling it to target top, middle & junior management of corporates. Royal Orchid is listed in the Bombay & National stock exchanges (BSE & NSE) and is governed by an independent board of directors. The hotel chain also plans to have an international presence by 2010 with their properties coming up in key locations across India and in Darse-lam. Started in the seventies by Chender K Baljee, the Baljee Group (re-branded as Royal Orchid Hotels) will soon become one of India's most recognized names in hospitality. The hotel also operates the Presidency College of hotel management in Bangalore. which provides easy access to a ready pool of trained talent for keeping pace with the growing needs of the industry. Download PPT Photo 1   View Contact Details",Urgent Requirements of Steward
3,00a6a928-ac49-433c-9f7c-f1c5b2ca953e,"Job Description   Send me Jobs like this Cedent Consulting is looking to Hire Experienced HR/Immigration Coordinators and Manager for their Bangalore Office. The ideal Candidate must have: 3 - 5 + Years experience in Human Resources in the area of US Immigration ,Payroll , Employee Relations etc. - Experience working with Human Resources paperwork and immigration filing requirements especially for US. - Experience in dealing with queries from employees who are in the US. - Excellent Communication skills and Writing skills. - Candidates who is ready to achieve over and beyond. - Ability to work day / Night/afternoon , since this role will be working US hours and there is a possibility working part US and part India hours. - Must have a Bachelors degree atleast. Cedent Consulting is always looking for passionate professionals who is willing to grow with the Company.Interested Candidates should immediately apply for this opportunity and all applications will be kept strictly confidential. Salary:INR 3,00,000 - 8,00,000 P.A Industry: IT-Software / Software Services Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:HR Executive Keyskills US Recruiting usa recruiting Human Resources Payroll payroll processing immigration visa processing visa Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Cedent Consulting Inc Cedent Consulting, Inc. (Cedent) is a young and fast growing Information Technology Service provider offering a wide array of IT services ranging from IT Consulting & Healthcare Product development (Application Development) services to its clients. Cedent help's transform enterprises by aligning IT strategy and priorities to their business objectives. Cedent has been enhancing its business performance by providing unparalleled technical, business process and strategy expertise to positively impact our clients' critical systems. Cedent has built a strong reputation for systematic and hands on approach to IT Consulting. Cedent delivers business driven solutions. Cedent has extensive experience in designing, developing IT solutions and committed to providing quality, innovative IT solutions designed to exacting requirements to allow organizations to operate more efficiently and competitively. Download PPT Photo 1   View Contact Details",Human Resource Professionals in Immigration /payroll/business Partner
4,012b53e4-9820-40fb-8b6d-d92dbb4f796b,"Job Description   Send me Jobs like this Overall Purpose of Job and Responsibilities Provide translation of process documents, reports and presentations from French and German to English (or) English to French and German as required. Process invoices Liaise with customers and suppliers regarding queries Resolution of queries Skills Requirement Expert communication skills in Spanish and English ( written and spoken ) Previous experience of document management systems and processes would be an advantage. Excellent interpersonal skills. Ability to build credibility internally and with customers Excellent PC application skills and knowledge of computerised accounting systems. Ability to work under pressure & flexibility to meet demanding deadlines essential. Flexible to work in any 10 hour shift Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills pc german french document management english spanish documents computerised accounting Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: Accenture Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functionsunderpinned by the worlds largest delivery networkAccenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With approximately 373,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com Download PPT Photo 1   View Contact Details",German Translator
5,015293c2-8f15-4584-80f3-9aecd3ec1d03,"Job Description   Send me Jobs like this We are looking for a skilled and passionate Full Stack (PHP) Developer. You should have 2+ years of experience working with multiple architectures and coding languages (front-end & back-end technologies). Apply now. Salary:INR 1,75,000 - 2,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Graphic/Web Designer Keyskills Web Technologies Web Application Full Stack Application Developer full stack web developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Sinai Global Works on IT services related to Logistics Download PPT Photo 1   View Contact Details",Full Stack Web Application (php) Developer
6,0156b013-5f77-4852-ab52-03cbae1d7f21,"Job Description   Send me Jobs like this Developed understanding of local legal compliance issues. Strong problem-solving and analytical skills. Good teamwork skills. Developing project management skills. Developing mentoring and coaching skills. Good knowledge on Microsoft Office tools (Word, Excel, Power point, Access, Visio etc.) Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills Project Management Legal Compliance Arts Fresher Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Magna Infotech Pvt Ltd Magna Infotech Pvt Ltd Download PPT Photo 1   View Contact Details",Arts Fresher
7,01cf9ae9-5b22-4c83-9d14-8faebf725f0f,"Job Description   Send me Jobs like this * Should be a qualified Chartered Accountant. * Can have experience between 0 - 2 years post qualification. * Should be okay to work in all forms of shifts. * Current Market standards for TCC for freshers is somewhere Salary:INR 4,00,000 - 5,00,000 P.A. Plus Incentives and food coupons with transportation Industry: BPO / Call Centre / ITES Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Chartered Accountant Keyskills Chartered Accountant CA Desired Candidate Profile Please refer to the Job description above Education- UG: B.Com - Commerce PG:CA Company Profile: White Horse Manpower Consultancy Private Limited MNC Bpo/kpo Bangalore's #1 recruitment company Hiring for BPO/KPO pl send resume to teamleader@whitehorsemanpower.in whitehorseFNA@gmail.com 9342431049 Download PPT Photo 1   View Contact Details",Chartered Accountant 0 to 2 Years for MNC Bpo/kpo
8,01dcef7d-5002-40cb-b72a-e0cd50573a7d,"Job Description   Send me Jobs like this Greetings from ASAP Infosystems My name is Ms.Lavanya, My specialty is to find Great & a Dream come true Job for every Job Aspirant in India. I work for a company called M/s ASAP Info Systems Pvt. We have been in this business since 1998. We work across various technologies and platforms representing both mainstream and niche competencies across IT industry. ASAP Quick Facts: o ASAP is one of the largest IT staffing firm with 10,000+ hires in last 15 years for top tier blue chip clientele o Offices in 4 cities in India and 1 in office USA o Employee spread across 18 geographies in India o Employees converted to direct hire - 60% o Current monthly hiring 85+ IT Professionals o Currently 1500+ Service Employees This is with regards to an excellent opportunity with us if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, do you enjoy working on some of the toughest software problems while growing as a senior technology professional? Do you believe that software products must operate 24/7 without failure? Can you implement an engineering discipline that embodies failure is not an option approach? Then we have the right opportunity for you and your career. This is an opportunity of permanent Employment with ASAP Infosystems, and the employee will be deployed at one of our MNC client location. M/s ASAP info system expert advice for the moment we have an urgent opening for a CMM Level 5 Company, Kindly read to find more details:- Skill: Oracle Finance Technical Experience: 3+ Job Location: Bangalore, Hyderabad Only immediate joiners / not working candidates are preferred. We hope that If you are interested for the above profile then Kindly send us the following details (Mandatory) along with an Updated Resume / CV as soon as possible, so that we could process your profile for the same. Full Name: Skill: Total Experience: Relevant Experience: Contact number: Alternate contact number: DOB: Take home salary per month: Expected Take home salary per month: Currently working/Not Working/ Serving Notice Period: Current Company: Employment [Permanent/Contract]: If contract please specify your primary company details with URL: Required Time to Join: Current Location: Please let us know if you are holding any other Offers: Are you willing to join our Client under ASAP Info Systems Payroll: Ready to take F2F interview (mandatory): Pass port : Photo graph: Pan card: Pay slips: Once all this information is recorded into our system, this will give us the ultimate challenge to work very hard on your Profile with our clients, We Pledge to assist you on the double & Get you started, sooner the better. Wishing you all the very best. In case you might want to get in touch with me for better assistance, please feel free to call me on the number mentioned below. I would be more than glad to help you. Waiting for your updated resume, Your Dream Job search starts once we receive your profile. Thanks & Regards, Lavanya G| IT Recruiter | ASAP Info Systems Pvt.Ltd | 5th floor, Sathsurya Complex, Plot no 55, Kavuri hills main road, Above Yes mart, Diagonally Opp to Madhapur police station Hyderabad, Telangana 500033. 040 - 48127729 lavanya.g@asapinfosystems.com| www.asapinfosystems.com | Salary:INR 2,00,000 - 7,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Oracle Finance Technical Desired Candidate Profile Please refer to the Job description above Company Profile: ASAP Info Systems Pvt Ltd ASAP Quick Facts: o ASAP is one of the largest IT staffing firm with 10,000+ hires in last 15 years for top tier blue chip clientele o Offices in 4 cities in India and 1 in office USA o Employee spread across 18 geographies in India o Employees converted to direct hire - 60% o Current monthly hiring - 85+ IT Professionals o Currently 1500+ Service Employees This is with regards to an excellent opportunity with us if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, do you enjoy working on some of the toughest software problems while growing as a senior technology professional? Do you believe that software products must operate 24/7 without failure? Can you implement an engineering discipline that embodies ""failure is not an option"" approach? Then we have the right opportunity for you and your career. This is an opportunity of permanent Employment with ASAP Infosystems, and the employee will be deployed at one of our MNC client location. Download PPT Photo 1   View Contact Details",Oracle Finance Technical
9,02dd6ead-4bca-478d-b571-cca87231229c,"Job Description   Send me Jobs like this Direct or participate in surveying to lay out installations and establish reference points, grades, and elevations to guide construction.Test soils and materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel. Salary: Competitive salary based on merit and market standards Industry: Construction / Engineering / Cement / Metals Functional Area: Site Engineering , Project Management Role Category:Site Engineering Role:Construction-General Building Keyskills Concrete Asphalt Civil Engineering Steel Construction Civil Engineer Site Supervisor site incharge project incharge project engineer Desired Candidate Profile Plan and design transportation or hydraulic systems and structures, following construction and government standards, using design software and drawing tools.Inspect project sites to monitor progress and ensure conformance to design specifications. Company Profile: Take Wings http://takewing.co.in Greetings from takewing.co.in Takewing is a free career advisory firm, our mission is to create direct employment through our clients and provide information to facilitate the prospective jobseeker takewing in his career.(takewing.co.in) Download PPT Photo 1   View Contact Details",Civil Engineer - Freshers
